paperID,mscCodes,mscGraphTheoryYesNo,graphTheory,Undefined,undefinedasCode2,analysisasCode2,graph theoryasCode2,algebraasCode2,UndefinedasCode2,number theoryasCode2,20180417_1243code1,20180417_1243code2,20180418_0913code1,20180418_0913code2,20180416_0825code1,20180416_0825code2
5aad1f82cf58f193e837ef1c,,,4,2,0,0,2,0,4,0,graph theory,Undefined,Undefined,graph theory,,
5ab38d0ccf58f1b0a4b4ebdc,,,2,6,0,0,6,0,2,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5ab46defcf58f154dfdbfa91,,,0,6,0,0,5,1,0,0,Undefined,graph theory,,,Undefined,graph theory
5ab427accf58f13aa0d7b3a5,,,0,3,0,0,0,3,0,0,Undefined,algebra,,,,
5aaa4b65cf58f14f8d9760e4,,,0,7,0,4,0,3,0,0,Undefined,analysis,,,Undefined,analysis
5ab12fb7cf58f1613569a040,,,0,7,0,0,7,0,0,0,Undefined,graph theory,Undefined,graph theory,,
5aaf2ee1cf58f18812ca7bad,,,0,7,0,0,7,0,0,0,Undefined,graph theory,Undefined,graph theory,,
5aae4e17cf58f13b6915d9e4,,,0,4,0,0,2,2,0,0,Undefined,algebra,,,Undefined,graph theory
5ab51688cf58f194ff2fe03d,,,3,6,0,0,6,0,3,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5ab125e8cf58f16135697a68,05C50 05C05 05C12 05C35 ,Yes,0,5,0,0,5,0,0,0,Undefined,graph theory,Undefined,graph theory,,
5a13c816cf58f1078ea6ccce,,,0,9,2,4,1,2,0,0,Undefined,analysis,Undefined,analysis,Undefined,undefined
5a4bddd6cf58f117e3ca2698,,,2,2,0,0,2,0,2,0,Undefined,graph theory,,,,
5a13b9eecf58f101bd7e47ec,35R30 34A55 34G10 35K90 45D05 ,No,0,8,2,4,0,2,0,0,Undefined,analysis,Undefined,analysis,Undefined,undefined
5a132d57cf58f189eb536113,,,0,8,4,2,0,2,0,0,Undefined,analysis,Undefined,undefined,Undefined,undefined
5a9ff0a4cf58f1523be36473,,,0,3,0,0,3,0,0,0,Undefined,graph theory,,,,
5ab12373cf58f161356971c4,,,6,0,0,0,0,0,6,0,graph theory,Undefined,graph theory,Undefined,,
